Link|workID|oaiID|Title|Authors|Publication
https://core.ac.uk/works/89006389/|"oai:repozitorij.uni-lj.si:izpisgradiva.php?id=119449"||Freedom of the individual in the age of artificial intelligence|Kvrgić Maja|2020-09-16T01:33:33
https://core.ac.uk/works/150853652/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/184009"||The limits of humanity. Robots are getting dangerously close to humans, while you tend not to consider various groups of people as (fully) human.|Slavík Vratislav|2023-10-26T14:30:49
https://core.ac.uk/works/109833528/|"oai:dspace.cuni.cz:20.500.11956\/53613","oai:https:\/\/dspace.cuni.cz:20.500.11956\/53613"||Risk|Štola Miroslav|2018-01-02T08:47:18
https://core.ac.uk/works/16155339/|"oai:dspace.vutbr.cz:11012\/191606","oai:invenio.nusl.cz:575521","oai:invenio.nusl.cz:416398"||Artificial Intelligence and Industry 4.0|Hirsch Radim|2020-09-02T21:41:25
https://core.ac.uk/works/16104623/|"oai:dspace.vutbr.cz:11012\/24710","oai:dspace.vutbr.cz:11012\/32980","oai:https:\/\/dspace.vut.cz:11012\/32980","oai:invenio.nusl.cz:556504","oai:invenio.nusl.cz:224445","oai:invenio.nusl.cz:223950"||Artificial Intelligence Use on Stock Market|Skoumal Karel|2016-01-06T16:13:17
https://core.ac.uk/works/140469022/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/81224","oai:dspace.cuni.cz:20.500.11956\/81224"||Umělá inteligence pro hru Quoridor|Brenner Matyáš|2018-01-02T08:53:14
https://core.ac.uk/works/944354/|"oai:citeseerx.psu:10.1.1.3.6579","oai:arxiv.org:cs\/0312060"||Part-of-Speech Tagging with Minimal Lexicalization|Peshkin Leonid, Savova Virginia|2012-04-13T14:21:49
https://core.ac.uk/works/140191824/|"oai:ojs2.ejournal-iakn-manado.ac.id:article\/1078"||Artificial Intelligence dan Implikasinya Terhadap Tujuan Pembelajaran Pendidikan Agama Kristen|Horasman Perdemunta Munthe, Sidabutar Hasudungan|2023-01-12T14:32:28
https://core.ac.uk/works/70064079/|"oai:ojs.revistas.udesc.br:article\/11795"|10.5965/2316796307132018041|USABILITY STUDY ON THE INTERFACE OF AN ARTIFICIAL INTELIGENCE SYSTEM FOR CREATIVITY SUPPORT|Botega Luiz Fernando de Carvalho, da Silva Jonny Carlos, Murphy Gisele Raulik|2019-10-30T00:43:04
https://core.ac.uk/works/147640167/|"oai:e-archivo.uc3m.es:10016\/37558"|10.1145/3322640.3326701|AI as a legal person|Darling K., Graver D., Hallevy G., Millar J., Pagallo U.|2021-08-10T17:55:13
https://core.ac.uk/works/44618574/|"oai:arxiv.org:1710.03774"|10.1145/3137574.3137579|AI Buzzwords Explained: Multi-Agent Path Finding (MAPF)|Koenig Sven, Ma Hang|2017-10-17T02:53:27
https://core.ac.uk/works/16116634/|"oai:invenio.nusl.cz:238219","oai:dspace.vutbr.cz:11012\/55269","oai:https:\/\/dspace.vut.cz:11012\/55269"||Artificial Intelligence for Game Playing|Neřád Václav|2016-08-09T15:07:03
https://core.ac.uk/works/159066495/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/191208"||Perception of Generative Artificial Intelligence in selected Newsrooms of Domestic News Media with a Focus on Changes in Journalistic Ethics|Vaněček Lukáš|2024-10-10T19:30:37
https://core.ac.uk/works/23068780/|"oai:dspace.vsb.cz:10084\/104227"||Artificial Intelligence for Self-driving Car|Slíva Radek|2017-10-17T21:57:31
https://core.ac.uk/works/4762266/|"oai:doras.dcu.ie:396"|10.1145/973264.973287|Efficient contour-based shape representation and matching|Adamek Tomasz|2013-07-10T11:53:31
https://core.ac.uk/works/16116986/|"oai:dspace.vutbr.cz:11012\/52953","oai:invenio.nusl.cz:593802","oai:invenio.nusl.cz:235711"||Carcassonne Board Game Artificial Intelligence|Černohub Jan|2016-08-09T15:06:15
https://core.ac.uk/works/129485789/|"oai:doaj.org\/article:d126fafd930341d7bcc66ada24a519cb","oai:trepo.tuni.fi:10024\/137179"|10.1109/ojsp.2021.3105305|Applied Artificial Intelligence and Machine Learning for Video Coding and Streaming : Editorial|Chen Ying, Gabbouj Moncef, Hashemi Mahmoud R., Mrak Marta, Shirmohammadi Shervin|2022-02-08T00:09:08
https://core.ac.uk/works/38723342/|"oai:dspace.vsb.cz:10084\/108692"||Game World Simulation over Internet|Michálek Jan|2017-10-17T22:01:33
https://core.ac.uk/works/148720939/|"oai:surface.syr.edu:eli_arch-1013"||Surviving in the AI World as an Architect|Jo Victor Beomseung|2023-08-29T10:15:30
https://core.ac.uk/works/16118882/|"oai:invenio.nusl.cz:607925","oai:dspace.vutbr.cz:11012\/55601","oai:invenio.nusl.cz:238651"||Five in a Row|Vrtílek Michal|2016-08-09T15:07:10
https://core.ac.uk/works/16117679/|"oai:dspace.vutbr.cz:11012\/53982"||AI Algorithms|Petrželka Jan|2016-08-09T15:06:35
https://core.ac.uk/works/6174325/|"oai:dk.upce.cz:10195\/32245"||Využití imunitních systémů v datové analýze|Kopáček Luděk|2013-08-29T12:34:39
https://core.ac.uk/works/23070033/|"oai:dspace.vsb.cz:10084\/104091"||Chessboard Game|Langer Pavel|2017-10-17T21:57:24
https://core.ac.uk/works/34208853/|"oai:dspace.vsb.cz:10084\/143714"||Implementation of autonomous security systems at Václav Havel International Airport in Prague|Příhoda Dominik|2021-10-28T17:09:36
https://core.ac.uk/works/16114829/|"oai:invenio.nusl.cz:558756","oai:invenio.nusl.cz:234173","oai:https:\/\/dspace.vut.cz:11012\/27915","oai:dspace.vutbr.cz:11012\/27915"||Artificial Intelligence in Power Oil Transformers Diagnostics|Janda Ondřej|2016-01-06T16:14:00
https://core.ac.uk/works/109841250/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/102757"||Artificial intelligence and liability for its actions|Urban Martin|2021-04-17T06:06:48
https://core.ac.uk/works/16119454/|"oai:dspace.vutbr.cz:11012\/56310","oai:invenio.nusl.cz:239360","oai:https:\/\/dspace.vut.cz:11012\/56310"||Reversi|Labaj Tomáš|2016-08-09T15:07:24
https://core.ac.uk/works/132525889/|"oai:utpedia.utp.edu.my:9256"||LOAD FORECASTING USING ARTIFICIAL INTELIGENCE TECHNIQUE|ABDULLAH MUHAMMAD FITRI|2022-11-28T03:28:49
https://core.ac.uk/works/159762822/|"oai:dspace.vsb.cz:10084\/152809"||Využití generativní umělé inteligence v marketingu|Dubač Tomáš|2024-07-09T08:28:42
https://core.ac.uk/works/160811851/|"oai:ojs.jurnal.unitri.ac.id:article\/5798"|10.33366/ilg.v6i2.5798|ARTIFICIAL INTELLIGENCE DAN PENDIDIKAN ERA SOCIETY 5.0|Aldya Riantina Fitra, Arifendi Rio Febrianto, Oktavian Riskey|2024-09-16T13:57:56
https://core.ac.uk/works/84104224/|"oai:sedici.unlp.edu.ar:10915\/52016"||Knowledge Representation of Intelligent Public Services through a Semantic Model|Aldana Montes José F., Brys Carlos  R.|2020-04-17T10:13:33
https://core.ac.uk/works/82300931/|"oai:sedici.unlp.edu.ar:10915\/52016"||Knowledge Representation of Intelligent Public Services through a Semantic Model|Aldana Montes José F., Brys Carlos  R.|2020-04-10T15:35:46
https://core.ac.uk/works/16106321/|"oai:invenio.nusl.cz:570567","oai:invenio.nusl.cz:222448","oai:dspace.vutbr.cz:11012\/15088"||The Use of Artificial Intelligence for the Decision Making in the Firm|Coufal Petr|2016-01-06T16:13:10
https://core.ac.uk/works/159763242/|"oai:dspace.vsb.cz:10084\/152850"||Analysis of the Use of Artificial Intelligence in Digital Marketing|Sýkorová Natalie|2024-07-09T08:28:43
https://core.ac.uk/works/109849303/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/117257"||Criminal liability of artificial intelligence|Racek Libor|2021-04-17T06:09:59
https://core.ac.uk/works/109845098/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/109069"||Artificial Intelligence for the Dominion Game|Babušík Jan|2021-04-17T06:08:34
https://core.ac.uk/works/108113787/|"oai:hrcak.srce.hr:250131"|10.47960/2637-2495.2020.28.52|ARTIFICIAL INTELIGENCE AND (TECHNOLOGICAL DIGITAL) ARBITRATION|Matić Stjepan, Matić Tin|2021-03-04T02:31:08
https://core.ac.uk/works/150432964/|"oai:ojs.pkp.sfu.ca:article\/3427"||STRATEGI PEMANFAATAN ARTIFICIAL INTELLIGENCE DALAM PENYEBARAN INFORMASI|Nugraha Agung, Nurasyfa Eva Siti, Nurhadi Zikri Fachrul, Septiani Amelia Zahwa|2023-11-23T16:34:22
